PuzzleId,FEN,Moves,Rating,Themes
S7Bkk,r1bqk2r/1p1pnpbp/2n1p1p1/1N6/P2BP3/2P2Q2/3N1PPP/R3KB1R b KQkq - 2 13,c6d4 b5d6 e8f8 f3f7,1138,mate mateIn2 middlegame short
Ypt3C,6k1/5p1p/p2R2pP/1p6/5Q2/2p2PR1/4r1K1/4q3 w - - 3 43,g2h3 e1h1 h3g4 h1h5,1139,endgame mate mateIn2 short
eUvk4,2r2r1k/pp1b3p/8/3P1p2/8/3qP1Q1/PP3P1P/K5R1 b - - 1 24,f8f7 g3e5 f7g7 e5g7,1140,endgame mate mateIn2 short
lYh0l,5r2/p3R1k1/2pN1np1/1p3p1p/3q4/1P4QP/P5P1/7K b - - 4 34,g7h6 d6f5 g6f5 g3g7,1141,endgame mate mateIn2 sacrifice short
vhzCH,rb4k1/1p3pp1/p6p/5N2/P2qrpQ1/1P6/1P3nPP/R1B2R1K w - - 4 22,f1f2 e4e1 f2f1 e1f1,1142,backRankMate mate mateIn2 middlegame short
0Ekdi,8/p1p1b3/2Bkp3/1Pn3p1/1B2P1K1/8/6P1/8 b - - 0 46,d6e5 b4c3 e5d6 e4e5,1144,endgame mate mateIn2 short
usmtw,2kr4/p1p2p2/1pP1pn2/6qb/Q2P3p/P3P3/5P1P/R3K2R b KQ - 0 23,g5g2 a4a6 c8b8 a6b7,1144,mate mateIn2 middlegame queensideAttack short
vVoNf,r1bq1rk1/1p2b1pp/2n5/p2Bp3/2Pp1p1R/PP1P2P1/1B1N1P1P/R2Q2K1 b - - 4 18,g8h8 h4h7 h8h7 d1h5,1145,attraction kingsideAttack mate mateIn2 middlegame sacrifice short
veBv8,rn1q1bkr/pp2p1pp/2p5/4N3/3Pn1PP/2P5/PP3P2/R1BQK2R b KQ - 0 12,b8d7 d1b3 e7e6 b3e6,1146,kingsideAttack mate mateIn2 opening short
y4vE6,3r1b2/pb3pkN/2q1pNp1/3pP3/8/1P2Q3/P4PPP/2B3K1 b - - 2 24,d5d4 e3h6 g7h8 h7f8,1147,deflection discoveredAttack discoveredCheck mate mateIn2 middlegame short
2smDF,2q3k1/p5rp/b3N1p1/3pb1P1/7K/4B1r1/Pp3Q2/5R1R b - - 5 31,a6d3 f2f8 c8f8 f1f8,1149,mate mateIn2 middlegame short
vUSeS,6k1/5p1p/p7/3Q4/1P4n1/1P4P1/3B1qB1/2r4K w - - 7 38,d2c1 f2e1 g2f1 e1f1,1149,endgame fork mate mateIn2 short
1sa8B,5Q2/7k/2qPQ1p1/4p3/8/6P1/1p3PK1/8 w - - 1 42,g2h3 c6h1 h3g4 h1h5,1151,endgame mate mateIn2 queenEndgame short
4v6LR,r3r3/pp5k/2p3q1/3p2B1/1P3Q2/7P/P1R3P1/7K b - - 0 30,g6c2 f4f7 h7h8 g5f6,1152,endgame mate mateIn2 short
3fqx0,4r2r/pp1k1ppp/3R4/8/5B2/1P3n2/P4P1P/R6K b - - 0 21,d7c8 a1c1 c8b8 d6d8,1153,discoveredCheck doubleCheck endgame mate mateIn2 pillsburysMate short
